CompoundID,InChIKey,SMILES,logS,logP,MW
C1864,BNXDKTBMUIPKNM-UHFFFAOYSA-L,CC[N+](C1c2ccccc2c2c1cccc2)(CCCCCCCCCC[N+](C1c2ccccc2c2c1cccc2)(CC)CC)CC.[Br-].[Br-],-8.198091315,5.3684,774.753
C32,CBFCDTFDPHXCNY-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCC,-8.1700001,8.048,282.547
C1885,CZCHIEJNWPNBDE-UHFFFAOYSA-N,CCc1oc2c(c1C(=O)c1cc(I)c(c(c1)I)O)cccc2,-8.019623727,5.141,518.084
C39,BGHCVCJVXZWKCC-UHFFFAOYSA-N,CCCCCCCCCCCCCC,-7.96,5.7074,198.388
C41,GGMPTLAAIUQMIE-UHFFFAOYSA-N,Clc1c(c2ccccc2)c(Cl)c(c(c1Cl)Cl)Cl,-7.9200001,6.6206,326.433
C1929,IIYFAKIEWZDVMP-UHFFFAOYSA-N,CCCCCCCCCCCCC,-7.593585331,5.3173,184.361
C1935,RHNRLUFRIWVFOF-UHFFFAOYSA-N,CCC(c1cccc2c1cccc2)(C(=O)N)CCN(CC=C(C)C)CC=C(C)C.Cl,-7.560620848,7.0997,429.038
C1953,MOPIFNSMNXBREW-UHFFFAOYSA-N,CCCCCCCNc1c2ccccc2nc2c1cccc2,-7.477457012,5.8433,292.418
C59,PXAGFNRKXSYIHU-UHFFFAOYSA-N,Clc1cccc(c1c1c(Cl)cccc1Cl)Cl,-7.3899999,5.9672,291.988
C64,MTCPZNVSDFCBBE-UHFFFAOYSA-N,Clc1cc(Cl)c(c(c1)Cl)c1c(Cl)cccc1Cl,-7.3200002,6.6206,326.433
C76,HLQDGCWIOSOMDP-UHFFFAOYSA-N,Clc1cc(c2ccccc2)c(c(c1Cl)Cl)Cl,-7.1599998,5.9672,291.988
C2004,GGJLCOPSTSMTDX-FJUODKGNSA-N,CN(CC/C=C/1\c2ccccc2Sc2c1cc(I)cc2)C.Cl,-7.148848364,5.9412,443.773
C2019,SYHDSBBKRLVLFF-UHFFFAOYSA-N,CCN(CCOc1ccc(cc1)C(c1ccc(cc1)C)(Cc1ccc(cc1)Cl)O)CC,-7.112180045,5.8476,438.001
C78,XJKSTNDFUHDPQJ-UHFFFAOYSA-N,c1ccc(cc1)c1ccc(cc1)c1ccccc1,-7.1100001,5.0206,230.304
C2040,CIPKTKYIACDNOR-UHFFFAOYSA-N,CC(=CCN(CCC(c1cccc2c1cccc2)(C(=O)N)C)CC=C(C)C)C.Cl,-7.039427734,6.7096,415.011
C83,HCWZEPKLWVAEOV-UHFFFAOYSA-N,Clc1ccc(cc1c1cc(Cl)ccc1Cl)Cl,-7,5.9672,291.988
C2066,PGTFQVODURFDDZ-UHFFFAOYSA-N,CCN(CCOC(=O)C(c1cccc2c1cccc2)(c1cccc2c1cccc2)O)CC.Cl,-6.932520575,5.9159,463.996
C93,SFTUSTXGTCCSHX-UHFFFAOYSA-N,Clc1ccc(c(c1)c1c(Cl)cccc1Cl)Cl,-6.8000002,5.9672,291.988
C1669,WSPOMRSOLSGNFJ-AUWJEWJLSA-N,CN(CC/C=C\1/c2ccccc2Sc2c1cc(Cl)cc2)C,-6.75,5.188,315.86
C2140,WBERNRVMJQYKKR-UHFFFAOYSA-N,CN(c1ccc(cc1)Nc1c2ccccc2nc2c1cccc2)C,-6.689924547,5.2706,313.396
C2153,WHQCHUCQKNIQEC-UHFFFAOYSA-N,CCc1oc2c(c1C(=O)c1cc(Br)c(c(c1)Br)O)cccc2,-6.626588273,5.4568,424.083
C2165,XQEPSRGXVQDHMK-FJUODKGNSA-N,CN(CC/C=C/1\c2ccccc2Sc2c1cc(Br)cc2)C.Cl,-6.573234057,6.0991,396.772
C2166,XQEPSRGXVQDHMK-KIUKIJHYSA-N,CN(CC/C=C\1/c2ccccc2Sc2c1cc(Br)cc2)C.Cl,-6.573234057,6.0991,396.772
C2176,NOZSPKHARJALMX-UHFFFAOYSA-N,N#CC(c1cccc2c1cccc2)(CC=C(C)C)CCN1CCCCC1.Cl,-6.553787792,6.57338,382.969
C2189,DRQHMYYWGQFHOV-UHFFFAOYSA-N,CC(=CCC(c1cccc2c1cccc2)(C(=O)N)CCN1CCCCC1)C,-6.516413859,5.4334,364.524
C109,QORAVNMWUNPXAO-UHFFFAOYSA-N,Clc1ccc(c(c1)Cl)c1ccc(cc1Cl)Cl,-6.5100002,5.9672,291.988
C2191,OLGVYMCHLGYBAQ-UHFFFAOYSA-N,CC(=CCN(CC=C(C)C)CCC(c1cccc2c1cccc2)C(=O)N)C,-6.508658394,5.7335,364.524
C2195,XCPGHVQEEXUHNC-UHFFFAOYSA-N,COc1cc(ccc1Nc1c2ccccc2nc2c1cccc2)NS(=O)(=O)C,-6.502883221,5.7385,393.459
